title,category,description,quantity,unit,image
Apple,Fruits,Fresh red apples,1,kg,https://freshleafuae.com/wp-content/uploads/2024/08/red-apple-freshleaf-dubai-uae-img01.jpg
Banana,Fruits,Fresh bananas,1,kg,https://res.cloudinary.com/gb2xbn6d/image/upload/v1786193509/banana_yocpxg.png
Orange,Fruits,Fresh oranges,1,kg,https://res.cloudinary.com/gb2xbn6d/image/upload/v1786193509/orange_cjals4.png
Tomato,Vegetables,Fresh tomatoes,1,kg,https://res.cloudinary.com/gb2xbn6d/image/upload/v1786193509/tomato_dorzlh.png
Onion,Vegetables,Fresh onions,1,kg,https://res.cloudinary.com/gb2xbn6d/image/upload/v1786193510/onion_r311op.png
Cucumber,Vegetables,Fresh cucumbers,1,kg,https://res.cloudinary.com/gb2xbn6d/image/upload/v1786193508/cucumber_ulkpik.png
Fresh Chicken,Meat,Fresh chicken,1,kg,https://res.cloudinary.com/gb2xbn6d/image/upload/v1786193512/fresh_chicken_yn8ois.png
Fresh Chicken - chopped,Meat,Fresh Chicken - chopped,1,kg,https://res.cloudinary.com/gb2xbn6d/image/upload/v1786193512/fresh_chicken_chopped_fdtwie.png
Prawns,Meat,Fresh Prawns,500,g,https://res.cloudinary.com/gb2xbn6d/image/upload/v1786193510/prawns_wpyx4c.png
Prawns - pealed,Meat,fresh Prawns - Pealed,500,g,https://res.cloudinary.com/gb2xbn6d/image/upload/v1786193512/prawns_pealed_kb6pki.png
